Nono Luigi Live Elctronics

- 1979	Con Luigi Dallapiccola
- 1981	Das atmende Klarsein
- 1981	Io, frammento dal Prometeo
- 1982	Quando stanno morendo. Diario polacco n. 2
- 1983	Guai ai gelidi mostri
- 1983	Omaggio a György Kurtág
- 1984	Prometeo. Tragedia dell’ascolto
- 1985	A Pierre. Dell’azzurro silenzio, inquietum
- 1986	Risonanze erranti. Liederzyklus a Massimo Cacciari
- 1987	1° Caminantes…..Ayacucho
- 1987	Découvrir la subversion. Hommage à Edmond Jabès
- 1987	Post-prae-ludium n. 1 per Donau
